epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,849.381,0.8716,1.21575,1.03528,0.42284,0.38209,0.35951,0.26074,0.81399,1.36024,1.08002,0.000595591,0.000595591,0.000595591
43,871.597,0.86366,1.23077,1.04175,0.38697,0.35311,0.3637,0.25506,0.81154,1.45791,1.09469,0.000591361,0.000591361,0.000591361
44,893.387,0.86584,1.18977,1.03108,0.33156,0.4938,0.37298,0.26116,0.80358,1.34762,1.08608,0.000587132,0.000587132,0.000587132
45,911.37,0.87565,1.22548,1.05365,0.37719,0.39392,0.40009,0.29722,0.80326,1.26546,1.08339,0.000582902,0.000582902,0.000582902
46,933.244,0.83627,1.16461,1.02678,0.55208,0.38752,0.3748,0.28133,0.81098,1.36505,1.07787,0.000578672,0.000578672,0.000578672
47,951.891,0.83411,1.20689,1.02932,0.31456,0.43151,0.35772,0.26767,0.79068,1.31949,1.06985,0.000574443,0.000574443,0.000574443
48,974.276,0.85713,1.20505,1.02826,0.32728,0.46547,0.38276,0.27867,0.7886,1.3384,1.06809,0.000570214,0.000570214,0.000570214
49,995.394,0.84469,1.1957,1.0217,0.43124,0.43269,0.37796,0.28137,0.77351,1.35315,1.06588,0.000565984,0.000565984,0.000565984
50,1013.6,0.83611,1.16721,1.02668,0.37147,0.44517,0.3707,0.27241,0.79065,1.43103,1.07358,0.000561755,0.000561755,0.000561755
51,1035.3,0.83196,1.16379,1.02286,0.36684,0.44997,0.38803,0.2768,0.77584,1.38987,1.06565,0.000557525,0.000557525,0.000557525
52,1053.99,0.84137,1.12526,1.0322,0.35001,0.51628,0.39749,0.29125,0.77,1.40289,1.06095,0.000553296,0.000553296,0.000553296
53,1075.66,0.82808,1.13923,1.01759,0.3682,0.44315,0.38076,0.28059,0.8083,1.33736,1.07931,0.000549066,0.000549066,0.000549066
54,1096.97,0.83392,1.19207,1.02964,0.31304,0.58991,0.39865,0.29245,0.81295,1.34446,1.08456,0.000544836,0.000544836,0.000544836
55,1114.95,0.80625,1.12365,1.0318,0.37957,0.44446,0.38595,0.27762,0.79441,1.39832,1.07511,0.000540607,0.000540607,0.000540607
56,1136.99,0.81409,1.15209,1.02087,0.32046,0.47694,0.38843,0.28472,0.7801,1.26818,1.07087,0.000536378,0.000536378,0.000536378
57,1155.1,0.79625,1.08557,1.01488,0.46804,0.40103,0.40743,0.29797,0.79562,1.39894,1.07889,0.000532148,0.000532148,0.000532148
58,1177.12,0.82161,1.14374,1.02077,0.376,0.48671,0.40468,0.29774,0.75745,1.30057,1.05425,0.000527919,0.000527919,0.000527919
59,1198.71,0.82751,1.14863,1.01608,0.53793,0.49694,0.43249,0.32884,0.77223,1.30394,1.05993,0.000523689,0.000523689,0.000523689
60,1216.95,0.81609,1.10465,1.01341,0.39945,0.4614,0.41716,0.30964,0.78644,1.30492,1.06183,0.00051946,0.00051946,0.00051946
61,1238.34,0.7977,1.11584,1.01016,0.33263,0.51485,0.39477,0.29813,0.77792,1.29719,1.0597,0.00051523,0.00051523,0.00051523
62,1259.39,0.8112,1.13857,1.01847,0.5203,0.4952,0.39862,0.28729,0.75748,1.29737,1.05561,0.000511001,0.000511001,0.000511001
63,1277.16,0.79339,1.08563,1.01199,0.51588,0.48349,0.40894,0.30084,0.77896,1.42417,1.06723,0.000506771,0.000506771,0.000506771
64,1298.35,0.81381,1.13591,1.00622,0.39709,0.40482,0.37869,0.28305,0.77261,1.386,1.06995,0.000502541,0.000502541,0.000502541
65,1316.41,0.80951,1.08598,1.01044,0.36549,0.61219,0.39034,0.29054,0.79366,1.28397,1.07527,0.000498312,0.000498312,0.000498312
66,1337.55,0.82052,1.12213,1.01532,0.37739,0.45819,0.38014,0.27565,0.7696,1.36563,1.07125,0.000494083,0.000494083,0.000494083
67,1357.02,0.80205,1.13586,1.01176,0.3953,0.47125,0.41101,0.30024,0.77393,1.30667,1.07205,0.000489853,0.000489853,0.000489853
68,1377.28,0.79932,1.06308,1.0116,0.43076,0.45028,0.3948,0.28766,0.777,1.39255,1.08772,0.000485623,0.000485623,0.000485623
